Name,CID,PM,SMILES,L.Trp,L.Tyr,L.Pro,Anthranilate,L.Lys,L.Arg,Indole.3,GGPP,L.Ala,L.Asp,Secologanin,L.Phe,IPP,L.His,Cholesterol
"""(-)-Hyoscyamine""",C00002293,1,N1(C2(C(C(C(C1(C(C2([H])[H])([H])[H])[H])([H])[H])(OC(=O)C(C3=C(C(=C(C(=C3[H])[H])[H])[H])[H])([H])C(O[H])([H])[H])[H])([H])[H])[H])C([H])([H])[H],0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
"""6beta-Hydroxyhyoscyamine;Anisodamine""",C00002274,1,N1(C2(C(C(C1(C(C(C2([H])[H])(OC(=O)C(C3=C(C(=C(C(=C3[H])[H])[H])[H])[H])([H])C(O[H])([H])[H])[H])([H])[H])[H])([H])[H])(O[H])[H])[H])C([H])([H])[H],0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
"""(-)-Hyoscine;Scopolamine""",C00002292,1,N1(C2(C(C(C(C1(C3(C2(O3)[H])[H])[H])([H])[H])(OC(=O)C(C4=C(C(=C(C(=C4[H])[H])[H])[H])[H])([H])C(O[H])([H])[H])[H])([H])[H])[H])C([H])([H])[H],0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
""" Methylecgonone""",C00051755,1,C12(CCC(C(C(C1)O)C(=O)OC)(N2C)[H])[H],0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"""Methylecgonine""",C00051754,1,C12CCC(C(C(C1)O)C(=O)OC)N2C,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"""Cocaine""",C00002285,1,N1(C2(C(C(C1(C(C(C2([H])[H])(OC(=O)C3=C(C(=C(C(=C3[H])[H])[H])[H])[H])[H])(C(=O)OC([H])([H])[H])[H])[H])([H])[H])([H])[H])[H])C([H])([H])[H],0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"""Saxitoxin""",C00051761,1,N1C(N2C3(C(C1COC(N)=O)NC(=N3)N)C(CC2)(O)O)=N,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"""Agmatine""",C00001400,1,N(C(=N[H])N(C(C(C(C(N([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H],0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"""N-carbamoylputrescine""",C00001404,1,N(C(=O)N(C(C(C(C(N([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H],0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"""Putrescine""",C00001428,1,N(C(C(C(C(N([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H],0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"""N-Methylputrescine""",C00034611,1,C(N(C(C(C(C(N([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])([H])[H],0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"""N-Methyl-delta1-pyrrolinium cation;N-Methyl-delta1-pyrrolinium cation""",C00034612,1,[N+]1(=C(C(C(C1([H])[H])([H])[H])([H])[H])[H])C([H])([H])[H],0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"""Homospermidine""",C00051748,1,NCCCCNCCCCN,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"""Retronecine""",C00002108,1,C12(C(=C(C(N2C(C(C1(O[H])[H])([H])[H])([H])[H])([H])[H])[H])C(O[H])([H])[H])[H],0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"""Senecionine""",C00002116,1,C12(C3=C(C(N2C(C(C1(OC(C(C(C(C(C(OC3([H])[H])=O)(C([H])([H])[H])O[H])([H])C([H])([H])[H])([H])[H])=C([H])C([H])([H])[H])=O)[H])([H])[H])([H])[H])([H])[H])[H])[H],0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"""Pyrroline-5-carboxylate""",C00007606,1,C1(C(=NC(C1([H])[H])([H])C(=O)O[H])[H])([H])[H],0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"""Guanidinoacetate""",C00051746,1,C(=NCC(O)=O)(N)N,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"""Homoanatoxin-a""",C00051747,1,C1CC2CCC=C(C1N2)C(=O)CC,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"""Anatoxin-a""",C00002273,1,N1(C2(C(C(C(=C(C1(C(C2([H])[H])([H])[H])[H])C(=O)C([H])([H])[H])[H])([H])[H])([H])[H])[H])[H],0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"""exo-1-Amino-pyrrolizidine""",C00051745,1,C12(N(CCC1N)CCC2)[H],0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"""exo-1-Acetamido-pyrrolizidine;N-Acetyl-exo-1-aminopyrrolizidine;NAAP""",C00051744,1,C12(N(CCC1NC(=O)C)CCC2)[H],0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"""N-Acetylnorloline;NANL""",C00051756,1,C12(N3CC(C1NC(C)=O)([H])OC2(CC3)[H])[H],0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"""Norloline""",C00023613,1,O1C2(C3(N(C(C1(C3(N([H])[H])[H])[H])([H])[H])C(C2([H])[H])([H])[H])[H])[H],0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"""Loline""",C00023609,1,O1C2(C3(N(C(C1(C3(N(C([H])([H])[H])[H])[H])[H])([H])[H])C(C2([H])[H])([H])[H])[H])[H],0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"""N-Methylloline;NML""",C00023612,1,O1C2(C3(N(C(C1(C3(N(C([H])([H])[H])C([H])([H])[H])[H])[H])([H])[H])C(C2([H])[H])([H])[H])[H])[H],0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"""N-Acetylloline;NAL""",C00023611,1,O1C2(C3(N(C(C1(C3(N(C([H])([H])[H])C(=O)C([H])([H])[H])[H])[H])([H])[H])C(C2([H])[H])([H])[H])[H])[H],0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"""N-Formylloline;NFL""",C00051757,1,C12(N3CC(C1N(C([H])=O)C)([H])OC2(CC3)[H])[H],0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"""Legonindolizidine A""",C00051749,1,N12C(CCC1)=C(C(=C(C2=O)NC(=O)CC(C)C)C)O,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"""Legonindolizidine B""",C00051753,1,C=12N(C(C(=C(C1O)C)NC(=O)CCC(C)C)=O)CCC2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"""Legonmycin A""",C00051750,1,C12(N(C(=C(C1=O)C)NC(=O)CC(C)C)CCC2)O,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"""Legonmycin B""",C00051751,1,C12(N(C(=C(C1=O)C)NC(=O)CCC(C)C)CCC2)O,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"""4-Methylallyl-L-abrine;4-DMAL-L-abnine""",C00051766,2,C=1C=CC2=C(C1CC=C(C)C)C(=CN2)CC(NC)C(=O)O,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"""D-Lysergyl tripeptide lactam""",C00052031,2,C12=C3C=CC=C1NC=C2CC4(C3=CC(CN4C)C(=O)NC(C)([H])C(=O)N5C(C(N6C(C5=O)(CCC6)[H])=O)(CC7=CC=CC=C7)[H])[H],1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"""Chanoclavine-I;CC;Chanoclavine-1""",C00001707,2,C1(=C(C(=C2C3=C1C(C(C(C3=C(N2[H])[H])([H])[H])([H])N(C([H])([H])[H])[H])(C(=C(C([H])([H])[H])C(O[H])([H])[H])[H])[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"""Chanoclavine-1 aldehyde""",C00051768,2,C1=CC2=C3C(=C1)C(C(CC3=CN2)NC)C=C(C)C(=O)[H],1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"""Festuclavine""",C00011209,2,C1(=C2C3=C(C(=C1[H])[H])C4(C(C(C3=C(N2[H])[H])([H])[H])(N(C(C(C4([H])[H])(C([H])([H])[H])[H])([H])[H])C([H])([H])[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"""Pyroclavine""",C00011218,2,C1(=C2C3=C(C(=C1[H])[H])C4(C(C(C3=C(N2[H])[H])([H])[H])(N(C(C(C4([H])[H])(C([H])([H])[H])[H])([H])[H])C([H])([H])[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"""Agroclavine""",C00001677,2,C12=C3C(=C(C(=C1[H])[H])[H])C4(C(C(C3=C(N2[H])[H])([H])[H])(N(C(C(=C4[H])C([H])([H])[H])([H])[H])C([H])([H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"""Elymoclavine""",C00001717,2,C1(=C(C2(C(N(C1([H])[H])C([H])([H])[H])(C(C=3C=4C2=C(C(=C(C4N(C3[H])[H])[H])[H])[H])([H])[H])[H])[H])[H])C(O[H])([H])[H],1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"""Paspalic acid""",C00051776,2,C1(=CC2(C(N(C1)C)(CC=3C4=C2C=CC=C4N(C3)[H])[H])[H])C(=O)O,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"""(8S,9S)-Fumigaclavine B""",C00011248,2,C1(=C2C3=C(C(=C1[H])[H])C4(C(C(C3=C(N2[H])[H])([H])[H])(N(C(C(C4(O[H])[H])(C([H])([H])[H])[H])([H])[H])C([H])([H])[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"""(8S,9S)-Fumigaclavine A""",C00011246,2,C1(=C2C3=C(C(=C1[H])[H])C4(C(C(C3=C(N2[H])[H])([H])[H])(N(C(C(C4(OC(=O)C([H])([H])[H])[H])([H])C([H])([H])[H])([H])[H])C([H])([H])[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"""(8S,9S)-Fumigaclavine C""",C00011250,2,C1(=C2C3=C(C(=C1[H])[H])C4(C(C(C3=C(N2[H])C(C([H])([H])[H])(C(=C([H])[H])[H])C([H])([H])[H])([H])[H])(N(C(C(C4(OC(=O)C([H])([H])[H])[H])(C([H])([H])[H])[H])([H])[H])C([H])([H])[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"""(8R,9S)-Fumigaciavine B""",C00051765,2,C1(C(C2(C(N(C1)C)(CC=3C4=C2C=CC=C4NC3)[H])[H])O)C,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"""(8R,9S)-Fumigaciavine A""",C00051764,2,C1(C(C2(C(N(C1)C)(CC=3C4=C2C=CC=C4NC3)[H])[H])OC(=O)C)C,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"""D-Lysergic acid""",C00051774,2,C1(CC2C(N(C1)C)(CC=3C4=C2C=CC=C4N(C3)[H])[H])(C(=O)O)[H],1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"""Ergometrine;Ergonovine;Ergobasine;EN;EV""",C00001722,2,C1(C(=C2C(N(C1([H])[H])C([H])([H])[H])(C(C=3C=4C2=C(C(=C(C4N(C3[H])[H])[H])[H])[H])([H])[H])[H])[H])(C(N(C(C([H])([H])[H])([H])C(O[H])([H])[H])[H])=O)[H],1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"""Dihydrolysergol""",C00051771,2,C1C(=CC2(C(N1C)(CC=3C4=C2C=CC=C4N(C3)[H])[H])[H])CO,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"""Dihydrolysergic acid""",C00051770,2,C1C(CC2(C(N1C)(CC=3C4=C2C=CC=C4N(C3)[H])[H])[H])(C(O)=O)[H],1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"""Dihydroergosine""",C00051769,2,C12N(CCC1)C(C(N3C2(OC(C3=O)(C)NC(C4CC5C(N(C4)C)CC=6C7=C5C=CC=C7NC6)=O)O)CC(C)C)=O,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"""Setoclavine""",C00011215,2,C1(=C2C3=C(C(=C1[H])[H])C=4C(C(C3=C(N2[H])[H])([H])[H])(N(C(C(C4[H])(C([H])([H])[H])O[H])([H])[H])C([H])([H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"""Ergonovine;EV""",C00011228,2,C1(=C2C3=C(C(=C1[H])[H])C=4C(C(C3=C(N2[H])[H])([H])[H])(N(C(C(C(=O)N(C5(OC6(N(C5=O)C(C(N7C6([H])C(C(C7([H])[H])([H])[H])([H])[H])=O)([H])C(C([H])([H])[H])(C([H])([H])[H])[H])O[H])C([H])([H])[H])[H])(C4[H])[H])([H])[H])C([H])([H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"""Lysergic acid alpha-hydroxyethylamide""",C00039674,2,C1(=C2C(N(C(C1(C(=O)N(C(C([H])([H])[H])(O[H])[H])[H])[H])([H])[H])C([H])([H])[H])(C(C=3C4=C2C(=C(C(=C4N(C3[H])[H])[H])[H])[H])([H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"""Dimethylallyl tryptophan;DMATrp;DMAT;4-Dimethylallyltryptophan;4-DMAT""",C00051773,2,C1(=CC=CC2=C1C(=CN2)CC(N)C(=O)O)CC=C(C)C,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"""Dimethyl phenylpiperazinium;DMPP""",C00052034,2,C1=CC=CC(=C1)N2CC[N+](CC2)(C)C,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"""Ergotamine""",C00001724,2,C12(C3(N(C(C(N1C(C(C2([H])[H])([H])[H])([H])[H])=O)([H])C(C4=C(C(=C(C(=C4[H])[H])[H])[H])[H])([H])[H])C(C(O3)(N(C(=O)C5(C(=C6C(N(C5([H])[H])C([H])([H])[H])(C(C=7C=8C6=C(C(=C(C8N(C7[H])[H])[H])[H])[H])([H])[H])[H])[H])[H])[H])C([H])([H])[H])=O)O[H])[H],1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"""Ergine;Lysergic acid amide;ERG""",C00001718,2,C1(C(=C2C(N(C1([H])[H])C([H])([H])[H])(C(C=3C=4C2=C(C(=C(C4N(C3[H])[H])[H])[H])[H])([H])[H])[H])[H])(C(N([H])[H])=O)[H],1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"""Geranylgeranyl diphosphate;Geranylgeranyl pyrophosphate;GGPP""",C00000908,3,C(C(=C(C(OP(OP(O[H])(=O)O[H])(=O)O[H])([H])[H])[H])C([H])([H])[H])(C(C(=C(C(C(C(=C(C(C(C(=C(C([H])([H])[H])C([H])([H])[H])[H])([H])[H])([H])[H])C([H])([H])[H])[H])([H])[H])([H])[H])C([H])([H])[H])[H])([H])[H])([H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Tryptamine;beta-(3-Indolyl)ethylamine""",C00001434,3,C1(=C(C(=C2C(=C1[H])C(=C(N2[H])[H])C(C(N([H])[H])([H])[H])([H])[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Strictosidine""",C00029058,3,C12=C(C(C(N(C1(C(C3(C(=C(OC(C3(C(=C([H])[H])[H])[H])(OC4(OC(C(C(C4(O[H])[H])(O[H])[H])(O[H])[H])(C(O[H])([H])[H])[H])[H])[H])[H])C(OC([H])([H])[H])=O)[H])([H])[H])[H])[H])([H])[H])([H])[H])C5=C(N2[H])C(=C(C(=C5[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Polyneuridine aldehyde""",C00051791,3,C12=CC=CC=C1NC3=C2CC4N5C3(CC(C(C5)=C([H])C)C4(C(OC)=O)C(=O)[H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""16-Epivellosimine""",C00051789,3,C12=CC=CC=C1NC3=C2CC4N5C3C(C(C(C5)=C(C)[H])(C4C(=O)[H])[H])[H].C[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Vinorine""",C00024291,3,C1(=C(C(=C2C(=C1[H])C34C(=N2)C5(N6C(C3([H])[H])(C(C(C5([H])[H])(C(C6([H])[H])=C(C([H])([H])[H])[H])[H])(C4(OC(=O)C([H])([H])[H])[H])[H])[H])[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Raucaffricine""",C00024300,3,C1(=C(C(=C2C(=C1[H])C34C(=N2)C5(N6C(C3([H])[H])(C(C(C5([H])[H])(C(C6(OC7(OC(C(C([H])(O[H])C7([H])O[H])([H])O[H])([H])C(O[H])([H])[H])[H])[H])=C(C([H])([H])[H])[H])[H])(C4(OC(=O)C([H])([H])[H])[H])[H])[H])[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Acetylnorajmaline""",C00051783,3,N12C3(CC(C(C1O)CC)(C4C2(CC5(C3(N(C=6C5=CC=CC6)[H])[H])C4OC(=O)C)[H])[H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Norajamaline""",C00052043,3,C12=C(C=CC=C1)C34C(N2[H])(C5CC6C(C(N5C(C6C3O)C4)O)CC)[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Cathenamine""",C00051784,3,C1=CC=C2C(=C1)C3=C(N2[H])C4(N(CC3)C=C5C(C4)(C(=COC5C)C(=O)OC)[H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Vomilenine""",C00024322,3,C1(=C(C(=C2C(=C1[H])C34C(=N2)C5(N6C(C3([H])[H])(C(C(C5([H])[H])(C(C6(O[H])[H])=C(C([H])([H])[H])[H])[H])(C4(OC(C([H])([H])[H])=O)[H])[H])[H])[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""4,21-Dehydrogeissoschizine""",C00051782,3,[N+]=12C(CC(C(C1)=C([H])C)C(C(=O)OC)=C([H])O[H])(C3=C(CC2)C=4C(N3[H])=CC=CC4)[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Manilamine""",C00035340,3,C12=C(C(=C(N1[H])C(=C([H])[H])C3(C(C(N(C(C3=C(C(O[H])([H])[H])[H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])[H])[H])C(=C(C(=C2[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Strictosamide""",C00032210,3,C12=C(C3(N(C(C1([H])[H])([H])[H])C(C=4C(C3([H])[H])(C(C(OC4[H])(OC5(OC(C(C(C5(O[H])[H])(O[H])[H])(O[H])[H])(C(O[H])([H])[H])[H])[H])[H])(C(=C([H])[H])[H])[H])[H])=O)[H])N(C6=C2C(=C(C(=C6[H])[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Pumiloside""",C00031110,3,N12C(C3=C(C1([H])[H])C(C4=C(N3[H])C(=C(C(=C4[H])[H])[H])[H])=O)(C(C5(C(C2=O)=C(OC(C5(C(=C([H])[H])[H])[H])(OC6(OC(C(C(C6(O[H])[H])(O[H])[H])(O[H])[H])(O[H])[H])[H])[H])[H])[H])([H])[H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Quinidine""",C00031117,3,C1(=C(C2=C(C(=C1OC([H])([H])[H])[H])C(=C(C(=N2)[H])[H])C(C3(N4C(C(C(C3([H])[H])(C(C4([H])[H])([H])[H])[H])(C(=C([H])[H])[H])[H])([H])[H])[H])(O[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Ajmalicine""",C00001678,3,C1(=C(C(=C(C2=C1C3=C(N2[H])C4(N(C(C3([H])[H])([H])[H])C(C5(C(C4([H])[H])(C(=C(OC5([H])C([H])([H])[H])[H])C(=O)OC([H])([H])[H])[H])[H])([H])[H])[H])[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Preaquamycin;Preakuammicine""",C00051792,3,O(C(C1(C2(C(C3(N(C(C(C34C1=NC=5C4=C(C(=C(C5[H])[H])[H])[H])([H])[H])([H])[H])C(C2=C(C([H])([H])[H])[H])([H])[H])[H])([H])[H])[H])C(OC([H])([H])[H])=O)([H])[H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Strychnine""",C00001770,3,N12C(C(C3(C4(C1(C5(C6(C(C4(C(=C(C(O3)([H])[H])[H])C(N6C(C5([H])[H])([H])[H])([H])[H])[H])([H])[H])[H])C7=C2C(=C(C(=C7[H])[H])[H])[H])[H])[H])[H])([H])[H])=O,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Stemmadenine""",C00026041,3,C1(=C(C(=C2C(=C1[H])C3=C(N2[H])C(C(=O)OC([H])([H])[H])(C4(C(C(N(C(C3([H])[H])([H])[H])C(C4=C(C([H])([H])[H])[H])([H])[H])([H])[H])([H])[H])[H])C(O[H])([H])[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Camptothecin""",C00002145,3,C1(=C(C(=C2C(=C1[H])C(=C3C(=N2)C=4N(C3([H])[H])C(C5=C(C4[H])C(C(OC5([H])[H])=O)(O[H])C(C([H])([H])[H])([H])[H])=O)[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Cinchoninone""",C00051785,3,C12=CC=CC=C1N=CC=C2C(=O)C3CC4C(CN3CC4)C=C,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Corynantheal""",C00051786,3,N12C(CC(C(C1)C=C)CC(=O)[H])(C3=C(CC2)C=4C(N3)=CC=CC4)[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Quinine""",C00002193,3,C1(=C(C(=C2C(=C1[H])C(=C(C(=N2)[H])[H])C(C3(N4C(C(C(C3([H])[H])(C(C4([H])[H])([H])[H])[H])(C(=C([H])[H])[H])[H])([H])[H])[H])(O[H])[H])[H])[H])OC([H])([H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Cinchonine""",C00050560,3,O(C(C1(N2C(C(C(C1([H])[H])(C(C2([H])[H])([H])[H])[H])(C(=C([H])[H])[H])[H])([H])[H])[H])(C=3C=4C(N=C(C3[H])[H])=C(C(=C(C4[H])[H])[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Cinchonidine""",C00002147,3,C1(=C(C(=C2C(=C1[H])C(=C(C(=N2)[H])[H])C(C3(N4C(C(C(C3([H])[H])(C(C4([H])[H])([H])[H])[H])(C(=C([H])[H])[H])[H])([H])[H])[H])(O[H])[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
